institution,publication_date,sector,sector_name,raw_stance,normalized_score,source_title,source_url,notes
Charles Schwab,2026-05-01,XLB,Materials,More Favored,1,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=349dcd07a8ff60bc3b15dbaea9276124,
Charles Schwab,2026-05-01,XLC,Communication Services,More Favored,1,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=349dcd07a8ff60bc3b15dbaea9276124,
Charles Schwab,2026-05-01,XLE,Energy,Neutral,0,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=349dcd07a8ff60bc3b15dbaea9276124,
Charles Schwab,2026-05-01,XLF,Financials,Neutral,0,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=349dcd07a8ff60bc3b15dbaea9276124,
Charles Schwab,2026-05-01,XLI,Industrials,More Favored,1,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=349dcd07a8ff60bc3b15dbaea9276124,
Charles Schwab,2026-05-01,XLK,Information Technology,Neutral,0,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=349dcd07a8ff60bc3b15dbaea9276124,
Charles Schwab,2026-05-01,XLP,Consumer Staples,Less Favored,-1,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=349dcd07a8ff60bc3b15dbaea9276124,
Charles Schwab,2026-05-01,XLRE,Real Estate,Least Favored,-2,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=349dcd07a8ff60bc3b15dbaea9276124,
Charles Schwab,2026-05-01,XLU,Utilities,Neutral,0,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=349dcd07a8ff60bc3b15dbaea9276124,
Charles Schwab,2026-05-01,XLV,Health Care,Most Favored,2,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=349dcd07a8ff60bc3b15dbaea9276124,
Charles Schwab,2026-05-01,XLY,Consumer Discretionary,Least Favored,-2,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=349dcd07a8ff60bc3b15dbaea9276124,
Charles Schwab,2026-05-29,XLB,Materials,More Favored,1,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=391d5d8052546ce2123f4beb530a6db7,
Charles Schwab,2026-05-29,XLC,Communication Services,More Favored,1,Sector Views: Monthly Stock Sector Outlook,https://www.schwab.com/learn/story/stock-sector-outlook?msockid=391d5d8052546ce2123f4beb530a6db7,
