,cognitive,classical,momentumA,momentumB,cog_risk,cognitive_rk,classical_rk,momentumA_rk,momentumB_rk,risk_rk
XLF,0.8122333935731744,0.9338963015485856,0.6360724049605893,1.0,0.030131327472867748,1,1,8,5,1
XLV,0.7720255723332291,0.5702160928871843,0.7978841305797838,1.0,0.03873927848932891,2,6,3,5,2
XLE,0.7072749910911177,0.43090638018692845,0.8983525425136571,1.0,0.05579599302398246,3,10,2,5,3
XLI,0.6889568709403525,0.6505617196151715,0.7792685403107642,1.0,0.06047170876315641,4,4,4,5,4
XLRE,0.6442838477767917,0.7994618806949836,0.6635119360205726,1.0,0.07007217753202757,5,2,6,5,5
XLB,0.6323586557118032,0.5644580901274511,0.7075584927456838,1.0,0.0742730022426431,6,7,5,5,6
XLP,0.6189197274786563,0.6366247723158475,0.6132290376065733,1.0,0.07801584034319504,7,5,9,5,7
XLC,0.5463046976076986,0.49231000422430365,0.5601870993964153,0.9095238095238096,0.10475392454370791,8,9,11,10,8
XLU,0.5366862889938725,0.7633364591969699,0.6584189497180751,1.0,0.10931073057995452,9,3,7,5,9
XLK,0.5360895650232564,0.3417230337790138,0.9066858685622714,1.0,0.11022372433294432,10,11,1,5,10
XLY,0.504920883973518,0.49800442244549437,0.5659784848681662,0.8642857142857142,0.12370443982932455,11,8,10,11,11
