ticker,rows,first,last,div_events,divergent,matched
XLB,6968,1998-12-22,2026-09-04,110,123,110
XLC,2065,2018-06-19,2026-09-04,32,32,32
XLE,6968,1998-12-22,2026-09-04,111,130,111
XLF,6968,1998-12-22,2026-09-04,110,124,110
XLI,6968,1998-12-22,2026-09-04,109,116,109
XLK,6968,1998-12-22,2026-09-04,84,102,84
XLP,6968,1998-12-22,2026-09-04,110,119,110
XLRE,2743,2015-10-08,2026-09-04,43,43,43
XLU,6968,1998-12-22,2026-09-04,111,122,111
XLV,6968,1998-12-22,2026-09-04,105,108,105
XLY,6968,1998-12-22,2026-09-04,110,117,110
SPY,6983,1998-12-01,2026-09-04,112,121,112
